DRUG NAME,Organism/Organism Group,"CLSI
>= S ","CLSI 
= I/SDD","CLSI
<= R",FDA STIC >=S,"FDA STIC
=I",FDA STIC <=R,CLSI & FDA match?,Comments
Amikacin,Acinetobacter species,17,15-16,14,same,same,same,Yes,
Ampicillin-Sulbactam,Acinetobacter species,15,14-Dec,11,same,same,same,Yes,
Cefepime,Acinetobacter species,18,15-17,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefiderocol,Acinetobacter species,15,-,-,19,18-Dec,11,No,FDA breakpoints are 19/12-18/11 for Acinetobacter baumanii complex only
Cefotaxime,Acinetobacter species,23,15-22,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Ceftazidime,Acinetobacter species,18,15-17,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Ceftriaxone,Acinetobacter species,21,14-20,13,-,-,-,No,FDA STIC website does not recognize breakpoints
Ciprofloxacin,Acinetobacter species,21,16-20,15,-,-,-,No,FDA STIC website does not recognize breakpoints
Doripenem,Acinetobacter species,18,15-17,14,same,same,same,Yes,
Doxycycline,Acinetobacter species,13,12-Oct,9,same,same,same,Yes,
Gatifloxacin,Acinetobacter species,18,15-17,14,-,-,-,No,Gatifloxacin not listed on FDA STIC website
Gentamicin,Acinetobacter species,15,13-14,12,-,-,-,No,FDA STIC website does not recognize breakpoints
Imipenem,Acinetobacter species,22,19-21,18,same,same,same,Yes,
Levofloxacin,Acinetobacter species,17,14-16,13,-,-,-,No,FDA STIC website does not recognize breakpoints
Meropenem,Acinetobacter species,18,15-17,14,same,same,same,Yes,
Minocycline,Acinetobacter species,16,13-15,12,same,same,same,Yes,
Piperacillin,Acinetobacter species,21,18-20,17,-,-,-,No,Piperacillin not listed on FDA STIC website
Piperacillin-Tazobactam,Acinetobacter species,21,18-20,17,same,same,same,Yes,
Tetracycline,Acinetobacter species,15,14-Dec,11,same,same,same,Yes,
Ticarcillin-Clavulanate,Acinetobacter species,20,15-19,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Tobramycin,Acinetobacter species,15,13-14,12,-,-,-,No,FDA STIC website does not recognize breakpoints
Trimethoprim-Sulfamethoxazole,Acinetobacter species,16,15-Nov,10,-,-,-,No,FDA STIC website does not recognize breakpoints
Ampicillin,Beta-hemolytic Streptococcus,24,-,-,same,same,same,Yes,
Azithromycin,Beta-hemolytic Streptococcus,18,14-17,13,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefepime,Beta-hemolytic Streptococcus,24,-,-,same,same,same,Yes,
Cefotaxime,Beta-hemolytic Streptococcus,24,-,-,same,same,same,Yes,
Ceftaroline,Beta-hemolytic Streptococcus,26,-,-,same,same,same,Yes,
Ceftriaxone,Beta-hemolytic Streptococcus,24,-,-,same,same,same,Yes,
Chloramphenicol,Beta-hemolytic Streptococcus,21,18-20,17,-,-,-,No,FDA STIC website does not recognize breakpoints
Ciprofloxacin,Beta-hemolytic Streptococcus,-,-,-,21,16-20,15,No,CLSI does not have breakpoints for this drug/bug combination
Clarithromycin,Beta-hemolytic Streptococcus,21,17-20,16,same,same,same,Yes,
Clindamycin,Beta-hemolytic Streptococcus,19,16-18,15,same,same,same,Yes,
Dirithromycin,Beta-hemolytic Streptococcus,18,14-17,13,-,-,-,No,Dirithromycin not listed on FDA STIC website
Erythromycin,Beta-hemolytic Streptococcus,21,16-20,15,same,same,same,Yes,
Gatifloxacin,Beta-hemolytic Streptococcus,21,18-20,17,-,-,-,No,Gatifloxacin not listed on FDA STIC website
Grepafloxacin,Beta-hemolytic Streptococcus,19,16-18,15,-,-,-,No,Grepafloxacin not listed on FDA STIC website
Levofloxacin,Beta-hemolytic Streptococcus,17,14-16,13,same,same,same,Yes,
Linezolid,Beta-hemolytic Streptococcus,21,-,-,same,same,same,Yes,
Ofloxacin,Beta-hemolytic Streptococcus,16,13-15,12,same,same,same,Yes,
Penicillin G,Beta-hemolytic Streptococcus,24,-,-,same,same,same,Yes,
Quinupristin-dalfopristin,Beta-hemolytic Streptococcus,19,16-18,15,same,same,same,Yes,
Tetracycline,Beta-hemolytic Streptococcus,23,19-22,18,same,same,same,Yes,
Trovafloxacin,Beta-hemolytic Streptococcus,19,16-18,15,-,-,-,No,Trovafloxacin not listed on FDA STIC website
Vancomycin,Beta-hemolytic Streptococcus,17,-,-,same,same,same,Yes,
Ceftazidime,Burkholderia cepacia,21,18-20,17,-,-,-,No,FDA STIC website does not recognize breakpoints
Meropenem,Burkholderia cepacia,20,16-19,15,-,-,-,No,FDA STIC website does not recognize breakpoints
Minocycline,Burkholderia cepacia,19,15-18,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Trimethoprim-Sulfamethoxazole,Burkholderia cepacia,16,15-Nov,10,-,-,-,No,FDA STIC website does not recognize breakpoints
Amikacin,Enterobacterales,20,17-19,16,17,15-16,14,No,CLSI updated breakpoints in the M100-33rd ed. FDA STIC recognizes the CLSI breakpoints in the M100-32nd ed. 
Amoxicillin-Clavulanate,Enterobacterales,18,14-17,13,same,same,same,Yes,
Ampicillin,Enterobacterales,17,14-16,13,same,same,same,Yes,
Ampicillin-Sulbactam,Enterobacterales,15,14-Dec,11,same,same,same,Yes,
Aztreonam,Enterobacterales,21,18-20,17,same,same,same,Yes,
Cefaclor,Enterobacterales,18,15-17,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefamandole,Enterobacterales,18,15-17,14,-,-,-,No,Cefamandole not listed on FDA STIC website
Cefazolin - infections other than uncomplicated UTIs,Enterobacterales,23,20-22,19,same,same,same,Yes,
Cefazolin - uncomplicated UTIs,Enterobacterales,15,-,14,-,-,-,No,FDA STIC website does not recognize breakpoints for uncomplicated urinary tract infections
Cefdinir,Enterobacterales,20,17-19,16,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefepime,Enterobacterales,25,"19-24 
(SDD)",18,25,"19-24 
(I)",18,Yes,"FDA STIC website lists the same breakpoints as CLSI breakpoints, but does not recognize the SDD category."
Cefetamet,Enterobacterales,18,15-17,14,-,-,-,No,Cefetamet not listed on FDA STIC website
Cefiderocol,Enterobacterales,16,15-Sep,8,same,same,same,Yes,"FDA STIC website lists the same values as CLSI breakpoints, with the comments:

a) Clinical efficacy was shown for Escherichia coli, Klebsiella pneumoniae, Proteus mirabilis, and Enterobacter cloacae complex in patients with complicated urinary tract infections (cUTI).

b) Clinical efficacy was shown for Escherichia coli, Klebsiella pneumoniae, Enterobacter cloacae complex, and Serratia marcescens in patients with hospital-acquired bacterial pneumonia and ventilator-associated bacterial pneumonia (HAbreakpoint/VAbreakpoint)."
Cefixime,Enterobacterales,19,16-18,15,same,same,same,Yes,
Cefmetazole,Enterobacterales,16,13-15,12,-,-,-,No,Cefmetazole not listed on FDA STIC website
Cefonicid,Enterobacterales,18,15-17,14,-,-,-,No,Cefonicid not listed on FDA STIC website
Cefoperazone,Enterobacterales,21,16-20,15,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefotaxime,Enterobacterales,26,23-25,22,same,same,same,Yes,
Cefotetan,Enterobacterales,16,13-15,12,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefoxitin,Enterobacterales,18,15-17,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefpodoxime,Enterobacterales,21,18-20,17,same,same,same,Yes,
Cefprozil,Enterobacterales,18,15-17,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Ceftaroline,Enterobacterales,23,20-22,19,same,same,same,Yes,
Ceftazidime,Enterobacterales,21,18-20,17,same,same,same,Yes,
Ceftazidime-Avibactam,Enterobacterales,21,-,20,same,same,same,Yes,
Ceftibuten,Enterobacterales,21,18-20,17,-,-,-,No,FDA STIC website does not recognize breakpoints
Ceftizoxime,Enterobacterales,25,22-24,21,-,-,-,No,Ceftizoxime not listed on FDA STIC website
Ceftolozane-tazobactam,Enterobacterales,22,19-21,18,same,same,same,Yes,
Ceftriaxone,Enterobacterales,23,20-22,19,same,same,same,Yes,
Cefuroxime (oral),Enterobacterales,23,15-22,14,same,same,same,Yes,
Cefuroxime (parenteral),Enterobacterales,18,15-17,14,18,-,17,No,FDA breakpoints 18/17 for Enterobacteriaceae
Chloramphenicol,Enterobacterales,18,13-17,12,same,same,same,Yes,FDA STIC website accepts CLSI breakpoints for Salmonella species only
Cinoxacin,Enterobacterales,19,15-18,14,-,-,-,No,Cinoxacin is not listed on FDA STIC website 
Ciprofloxacin,Enterobacterales,26,22-25,21,same,same,same,Yes,
Doripenem,Enterobacterales,23,20-22,19,same,same,same,Yes,
Doxycycline,Enterobacterales,14,13-Nov,10,same,same,same,Yes,
Enoxacin,Enterobacterales,18,15-17,14,-,-,-,No,Enoxacin not listed on FDA STIC website
Ertapenem,Enterobacterales,22,19-21,18,same,same,same,Yes,
Fleroxacin,Enterobacterales,19,16-18,15,-,-,-,No,Fleroxacin not listed on FDA STIC website
Fosfomycin w/G6P,Enterobacterales,16,13-15,12,same,same,same,Yes,
Gatifloxacin,Enterobacterales,18,15-17,14,-,-,-,No,Gatifloxacin not listed on FDA STIC website
Gentamicin,Enterobacterales,18,15-17,14,15,13-14,12,No,CLSI updated breakpoints in the M100-33rd ed. FDA STIC recognizes the CLSI breakpoints in the M100-32nd ed. 
Grepafloxacin,Enterobacterales,18,15-17,14,-,-,-,No,Grepafloxacin not listed on FDA STIC website
Imipenem,Enterobacterales,23,20-22,19,same,same,same,Yes,
Imipenem-relebactam,Enterobacterales,25,21-24,20,same,same,same,Yes,"FDA STIC website accepts CLSI breakpoints with comment Clinical efficacy was shown for Klebsiella aerogenes, Enterobacter cloacae, Escherichia coli, Klebsiella pneumoniae, Citrobacter freundii, Klebsiella oxytoca."
Kanamycin,Enterobacterales,18,14-17,13,same,same,same,Yes,
Levofloxacin,Enterobacterales,21,17-20,16,same,same,same,Yes,FDA does not recognize levofloxacin breakpoints for Salmonella spp. 
Lomefloxacin,Enterobacterales,22,19-21,18,-,-,-,No,Lomefloxacin not listed on FDA STIC website
Loracarbef,Enterobacterales,18,15-17,14,-,-,-,No,FDA STIC website does not recognize breakpoints
Mecillinam,Enterobacterales,15,14-Dec,11,-,-,-,No,Mecillinam not listed on FDA STIC website
Meropenem,Enterobacterales,23,20-22,19,same,same,same,Yes,
Meropenem-vaborbactam,Enterobacterales,18,15-17,14,same,same,same,Yes,
Minocycline,Enterobacterales,16,13-15,12,same,same,same,Yes,
Moxalactam,Enterobacterales,23,15-22,14,-,-,-,No,Moxalactam not listed on FDA STIC website
Nalidixic acid,Enterobacterales,19,14-18,13,-,-,-,No,Nalidixic acid not listed on FDA STIC website
Netilmicin,Enterobacterales,15,13-14,12,-,-,-,No,Netilmicin not listed on FDA STIC website
Nitrofurantoin,Enterobacterales,17,15-16,14,same,same,same,Yes,
Norfloxacin,Enterobacterales,17,13-16,12,-,-,-,No,Norfloxacin not listed on FDA STIC website
Ofloxacin,Enterobacterales,16,13-15,12,same,same,same,Yes,FDA does not recognize ofloxacin breakpoints for Salmonella spp. 
Piperacillin-tazobactam,Enterobacterales,25,21-24,20,same,same,same,Yes,"FDA accepts CLSI breakpoints with the following footnote:
Clinical efficacy was shown for E. coli and K. pneumoniae"
Plazomicin,Enterobacterales,18,15-17,14,16,14-15,13,No,FDA STIC website does not recognize breakpoints
Streptomycin,Enterobacterales,15,14-Dec,11,same,same,same,Yes,
Tetracycline,Enterobacterales,15,14-Dec,11,same,same,same,Yes,
Ticarcillin-Clavulanate,Enterobacterales,20,15-19,14,same,same,same,Yes,
Tobramycin,Enterobacterales,17,13-16,12,15,13-14,12,No,CLSI updated breakpoints in the M100-33rd ed. FDA STIC recognizes the CLSI breakpoints in the M100-32nd ed. 
Trimethoprim,Enterobacterales,16,15-Nov,10,same,same,same,Yes,
Trimethoprim-Sulfamethoxazole,Enterobacterales,16,15-Nov,10,same,same,same,Yes,
Triple Sulfa,Enterobacterales,17,13-16,12,-,-,-,No,Triple Sulfa not listed on FDA STIC website
