DRUG NAME,Organism/Organism Group,"CLSI
<= S ","CLSI 
= I/SDD","CLSI
>= R",FDA STIC <=S,"FDA STIC
=I",FDA STIC >=R,CLSI & FDA match?,Comments
Amikacin,Acinetobacter species,16,32,64,same,same,same,Yes,
Ampicillin-Sulbactam,Acinetobacter species,8/4,16/8,32/16,same,same,same,Yes,
Cefepime,Acinetobacter species,8,16,32,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefotaxime,Acinetobacter species,8,16-32,64,1,2,4,No,
Ceftazidime,Acinetobacter species,8,16,32,same,same,same,Yes,
Ceftriaxone,Acinetobacter species,8,16-32,64,-,-,-,No,FDA STIC website does not recognize breakpoints
Ciprofloxacin,Acinetobacter species,1,2,4,-,-,-,No,FDA STIC website does not recognize breakpoints
Doripenem,Acinetobacter species,2,4,8,same,same,same,Yes,
Doxycycline,Acinetobacter species,4,8,16,same,same,same,Yes,
Gatifloxacin,Acinetobacter species,2,4,8,-,-,-,No,Gatifloxacin not listed on FDA STIC website
Gentamicin,Acinetobacter species,4,8,16,-,-,-,No,FDA STIC website does not recognize breakpoints
Imipenem,Acinetobacter species,2,4,8,same,same,same,Yes,
Levofloxacin,Acinetobacter species,2,4,8,-,-,-,No,FDA STIC website does not recognize breakpoints
Meropenem,Acinetobacter species,2,4,8,same,same,same,Yes,
Minocycline,Acinetobacter species,4,8,16,same,same,same,Yes,
Netilmicin,Acinetobacter species,8,16,32,-,-,-,No,Netilmicin not listed on FDA STIC website
Piperacillin,Acinetobacter species,16,32-64,128,-,-,-,No,Piperacillin not listed on FDA STIC website
Piperacillin-Tazobactam,Acinetobacter species,16/4,32/4-64/4,128/4,same,same,same,Yes,
Polymyxin B,Acinetobacter species,-,2,4,-,-,-,No,"FDA does not accept PB breakpoints. Note that the lower breakpoint is for intermediate, not susceptible. "
Tetracycline,Acinetobacter species,4,8,16,same,same,same,Yes,
Ticarcillin-Clavulanate,Acinetobacter species,16/2,32/2-64/2,128/2,-,-,-,No,FDA STIC website does not recognize breakpoints
Tobramycin,Acinetobacter species,4,8,16,-,-,-,No,FDA STIC website does not recognize breakpoints
Trimethoprim-Sulfamethoxazole,Acinetobacter species,2/38,-,4/76,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefiderocol,Acinetobacter species: Acinetobacter baumannii complex only,4,8,16,1,2,4,No,
Colistin,Acinetobacter species: Acinetobacter baumannii complex only,-,2,4,-,-,-,No,"FDA does not accept CL breakpoints at all; Note that the lower breakpoint is for intermediate, not susceptible."
Imipenem-Relebactam,Acinetobacter species: Acinetobacter baumannii complex only,-,-,-,2,4,8,No,FDA breakpoints are 2/4/8 for A. baumannii complex only. There are no CLSI breakpoints
Amoxicillin-clavulanate,Anaerobes,4/2,8/4,16/8,-,-,-,No,FDA does not have breakpoints for anaerobes
Ampicillin,Anaerobes,0.5,1,2,-,-,-,No,FDA does not have breakpoints
Ampicillin-sulbactam,Anaerobes,8/4,16/8,32/16,-,-,-,No,FDA does not have breakpoints
Cefmetazole,Anaerobes,16,32,64,-,-,-,No,FDA does not have breakpoints
Cefoperazone,Anaerobes,16,32,64,8,-,16,No,
Cefotaxime,Anaerobes,16,32,64,1,2,4,No,
Cefotetan,Anaerobes,16,32,64,4,8,16,No,
Cefoxitin,Anaerobes,16,32,64,4,8,16,No,
Ceftizoxime,Anaerobes,32,64,128,-,-,-,No,FDA does not have breakpoints
Ceftriaxone,Anaerobes,16,32,64,1,2,4,No,
Chloramphenicol,Anaerobes,8,16,32,-,-,-,No,FDA does not have breakpoints
Clindamycin,Anaerobes,2,4,8,same,same,same,Yes,
Doripenem,Anaerobes,2,4,8,1,-,-,No,
Ertapenem,Anaerobes,4,8,16,same,same,same,Yes,
Imipenem,Anaerobes,4,8,16,same,same,same,Yes,
